rundate,this_period,last_period,grp_cd,grp_name,apt1_apt_name,apt2_apt_name,total_pax_tp,total_pax_shd_tp,total_pax_cht_tp,total_pax_lp,total_pax_shd_lp,total_pax_cht_lp,total_pax_pc
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,BELFAST CITY (GEORGE BEST),BIRMINGHAM,186834,186834,0,146122,146122,0,27.86165
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,BELFAST CITY (GEORGE BEST),BRISTOL,49316,49316,0,43711,43711,0,12.82286
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,BELFAST CITY (GEORGE BEST),BRIZE NORTON,0,0,0,12,0,12,-100
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,BELFAST CITY (GEORGE BEST),CARDIFF WALES,40194,40127,67,35463,35463,0,13.34066
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,BELFAST CITY (GEORGE BEST),DUNDEE,0,0,0,3038,3038,0,-100
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,BELFAST CITY (GEORGE BEST),EAST MIDLANDS INTERNATIONAL,40799,40799,0,37161,37161,0,9.78983
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,BELFAST CITY (GEORGE BEST),EDINBURGH,130129,130129,0,116994,116839,155,11.22707
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,BELFAST CITY (GEORGE BEST),EXETER,29828,29828,0,30548,30548,0,-2.35695
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,BELFAST CITY (GEORGE BEST),GLASGOW,112296,112296,0,103076,103076,0,8.94486
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,BELFAST CITY (GEORGE BEST),INVERNESS,15174,15174,0,18114,18114,0,-16.23054
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,BELFAST CITY (GEORGE BEST),ISLE OF MAN,2091,2091,0,8917,8917,0,-76.55041
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,BELFAST CITY (GEORGE BEST),JERSEY,0,0,0,1417,1417,0,-100
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,BELFAST CITY (GEORGE BEST),LEEDS BRADFORD,126242,126242,0,113405,113405,0,11.31961
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,BELFAST CITY (GEORGE BEST),LIVERPOOL (JOHN LENNON),119275,119275,0,115405,115405,0,3.35341
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,BELFAST CITY (GEORGE BEST),MANCHESTER,223515,223515,0,171514,171471,43,30.31881
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,BELFAST CITY (GEORGE BEST),NEWCASTLE,29322,29322,0,24830,24830,0,18.09102
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,BELFAST CITY (GEORGE BEST),NEWQUAY,7219,7219,0,13802,13802,0,-47.69599
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,BELFAST CITY (GEORGE BEST),NORTHOLT,0,0,0,13,0,13,-100
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,BELFAST CITY (GEORGE BEST),SOUTHAMPTON,93653,93653,0,79810,79810,0,17.34494
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,BELFAST CITY (GEORGE BEST),TEESSIDE INTERNATIONAL AIRPORT,0,0,0,1365,1365,0,-100
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,BELFAST INTERNATIONAL,BIRMINGHAM,359839,359428,411,350308,350016,292,2.72075
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,BELFAST INTERNATIONAL,BRISTOL,267648,267648,0,272144,272144,0,-1.65207
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,BELFAST INTERNATIONAL,CARDIFF WALES,358,0,358,11770,11581,189,-96.95837
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,BELFAST INTERNATIONAL,CITY OF DERRY (EGLINTON),0,0,0,17,0,17,-100
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,BELFAST INTERNATIONAL,EAST MIDLANDS INTERNATIONAL,48860,48804,56,40648,40607,41,20.20272
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,BELFAST INTERNATIONAL,EDINBURGH,519103,519103,0,433876,433591,285,19.64317
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,BELFAST INTERNATIONAL,GLASGOW,309838,309788,50,310049,309780,269,-0.06805
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,BELFAST INTERNATIONAL,ISLE OF MAN,18328,18328,0,20318,20318,0,-9.79427
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,BELFAST INTERNATIONAL,JERSEY,19149,19149,0,18426,18426,0,3.9238
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,BELFAST INTERNATIONAL,LEEDS BRADFORD,55692,55492,200,41736,41567,169,33.43876
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,BELFAST INTERNATIONAL,LIVERPOOL (JOHN LENNON),398909,398909,0,394000,394000,0,1.24594
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,BELFAST INTERNATIONAL,MANCHESTER,543715,543524,191,505205,504966,239,7.62265
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,BELFAST INTERNATIONAL,NEWCASTLE,234096,234096,0,205878,205878,0,13.70618
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,BELFAST INTERNATIONAL,PRESTWICK,180,0,180,0,0,0,0
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,BELFAST INTERNATIONAL,SOUTHAMPTON,48233,48233,0,5332,5221,111,804.5949
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,BENBECULA,GLASGOW,24260,24260,0,25561,25561,0,-5.08979
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,BENBECULA,INVERNESS,743,743,0,3307,3307,0,-77.53251
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,BENBECULA,SOUTHAMPTON,0,0,0,12,0,12,-100
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,BENBECULA,STORNOWAY,1468,1468,0,1792,1792,0,-18.08036
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,BIGGIN HILL,BIRMINGHAM,0,0,0,52,0,52,-100
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,BIGGIN HILL,CARDIFF WALES,0,0,0,47,0,47,-100
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,BIGGIN HILL,DUNDEE,0,0,0,3,0,3,-100
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,BIGGIN HILL,EAST MIDLANDS INTERNATIONAL,92,0,92,87,0,87,5.74713
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,BIGGIN HILL,EDINBURGH,8,0,8,0,0,0,0
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,BIGGIN HILL,EXETER,0,0,0,81,0,81,-100
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,BIGGIN HILL,FARNBOROUGH,0,0,0,4,0,4,-100
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,BIGGIN HILL,GUERNSEY,24,0,24,0,0,0,0
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,BIGGIN HILL,HAWARDEN,61,0,61,0,0,0,0
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,BIGGIN HILL,HUMBERSIDE,0,0,0,43,0,43,-100
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,BIGGIN HILL,LEEDS BRADFORD,26,0,26,0,0,0,0
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,BIGGIN HILL,LIVERPOOL (JOHN LENNON),0,0,0,325,0,325,-100
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,BIGGIN HILL,MANCHESTER,255,0,255,366,0,366,-30.32787
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,BIGGIN HILL,NEWCASTLE,154,0,154,315,0,315,-51.11111
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,BIRMINGHAM,BOURNEMOUTH,43,0,43,326,138,188,-86.80982
