origin_iata,dest_iata,annual_pax
ANV,CHU,14
ANV,CKD,5
ANV,FAI,32
ANV,GAL,9
ANV,HCR,253
ANV,KGX,256
ANV,KLG,6
ANV,KPN,1
ANV,KWT,1
ANV,MCG,47
ANV,MLL,3
ANV,NUL,1
ANV,RSH,1
ANV,SHX,79
ANV,SRV,8
AOO,BBX,6
AOO,BKW,11
AOO,BWI,6
AOO,CLT,4818
AOO,EWR,2
AOO,HPN,3
AOO,IAD,4
AOO,PHL,5326
AOS,KZB,29
AOS,UGI,2
APA,ASE,14
APA,BFL,22
APA,BIL,13
APA,BNA,2
APA,CBK,6
APA,COE,2
APA,LAX,3
APA,MQY,4
APA,MRY,2
APA,OAK,12
APA,OGG,4
APA,ORD,4
APA,PBI,3
APA,SAN,3
APA,SBA,4
APA,SCF,8
APA,SJU,9
APA,SLC,5
APA,SSI,2
APA,TKF,5
APA,TWF,3
APA,UGN,3
APA,VNY,14
APC,APF,19
APC,AUS,1
APC,BFI,12
APC,BUR,14
APC,C01,2
APC,FLG,5
APC,HHR,20
APC,HPN,1
APC,LAX,8
APC,MDW,2
APC,MRY,21
APC,PBI,2
APC,PSP,9
APC,RST,9
APC,SAN,7
APC,SBA,1
APC,SFO,2
APC,SMO,10
APC,SNA,26
APC,STL,2
APC,SUN,10
APC,TEB,8
APC,TN8,10
APC,VGT,8
APC,VNY,59
APF,BDL,2
APF,BDR,2
APF,BED,6
APF,BLV,16
APF,BNA,17
APF,BWI,2
APF,EYW,16
APF,FLL,2
APF,FPR,4
APF,GNV,12
APF,GON,2
APF,HPN,860
APF,ISM,28
APF,MCO,8
APF,MDW,21
APF,MLB,2
APF,MMU,287
APF,MQY,1
APF,MTH,11
APF,MVY,1
APF,OPF,5
APF,ORL,22
APF,PBI,10
APF,PHL,2
APF,SAV,3
APF,SGU,10
APF,SRQ,5
APF,STS,3
APF,SVH,7
APF,TEB,25
APF,THV,4
APF,TLH,4
APF,TPA,11
APF,TPF,4
APF,TXX,13
APF,VNC,9
APF,VRB,1
APN,DTW,21812
ARC,BTI,49
ARC,BTT,2
ARC,CIK,31
ARC,CXF,6
ARC,ENN,5
ARC,FAI,2421
ARC,FYU,251
ARC,SCC,19
ARC,VEE,1906
ARC,WBQ,19
ART,PHL,46514
ART,SYR,300
ART,TEB,4
ASE,ATL,38299
ASE,AUS,11123
ASE,BCT,21
ASE,COS,466
ASE,DAL,15
ASE,DEN,268022
ASE,DFW,103424
ASE,EAR,11
ASE,FLL,12
ASE,FRG,28
ASE,FXE,8
ASE,GJT,590
ASE,HOU,14
ASE,HPN,25
ASE,IAD,1
ASE,IAH,58945
ASE,JAC,16
ASE,LAS,68
ASE,LAX,92301
ASE,MCC,12
ASE,MCI,117
ASE,MDW,26
ASE,OAK,12
ASE,OKC,215
ASE,OMA,9
ASE,ONT,38
ASE,OPF,38
ASE,ORD,87489
ASE,PBI,23
ASE,PHX,7667
ASE,PSP,1
ASE,PUB,9
ASE,PWK,28
ASE,SCF,10
ASE,SFO,28572
ASE,SJC,6
ASE,SLC,64
ASE,SLN,49
ASE,TEB,19
ASE,TKF,9
ASE,TN8,23
ASE,TTN,1
ASE,TUL,62
ASE,UGN,15
ASE,VNY,54
ASE,XNA,53
ASH,FOK,1
AST,BFI,4
AST,STS,2
AST,VNY,8
ATK,BRW,4174
ATK,FAI,19
ATK,NUI,37
ATK,OTZ,4
ATK,PHO,27
ATK,PIZ,33
ATK,SCC,2
ATL,ATW,65240
ATL,AUS,1258371
ATL,AVL,372134
ATL,AZA,173
ATL,BDL,678373
ATL,BED,295
ATL,BFI,64
ATL,BHM,823141
ATL,BIL,189
ATL,BKL,63
ATL,BMI,91959
ATL,BNA,1017103
ATL,BOI,148188
ATL,BOS,1565042
ATL,BQK,84642
ATL,BTR,251127
ATL,BTV,89310
ATL,BUF,393823
ATL,BUR,46009
ATL,BWI,1786917
ATL,BZN,123413
ATL,CAE,419629
ATL,CDC,248
ATL,CHA,403350
ATL,CHO,163687
ATL,CHS,853068
ATL,CID,89064
ATL,CLE,871811
ATL,CLL,320
ATL,CLT,904539
ATL,CMH,868679
ATL,COS,133010
ATL,CPR,177
ATL,CRP,243
ATL,CRW,134498
ATL,CSG,103221
ATL,CVG,828768
ATL,CYS,189
ATL,DAB,405942
ATL,DAL,777995
ATL,DAY,254487
ATL,DCA,1587041
ATL,DEN,1851033
ATL,DFW,1943435
ATL,DHN,77638
ATL,DSM,224240
ATL,DTW,1657036
ATL,EAU,149
ATL,ECP,556837
ATL,EGE,50399
ATL,ELP,213660
ATL,EUG,171
ATL,EVV,116714
ATL,EWR,1635719
ATL,EYW,301925
ATL,FAT,55326
ATL,FAY,128630
ATL,FLL,2524238
ATL,FOE,116
ATL,FSD,91747
ATL,FWA,132951
ATL,GEG,146237
ATL,GJT,1489
ATL,GNV,308717
ATL,GPT,237236
ATL,GRB,97218
ATL,GRR,434366
ATL,GSO,548975
ATL,GSP,717168
ATL,GTR,89660
ATL,GYY,211
ATL,HDN,32674
ATL,HHH,21305
ATL,HNL,187299
ATL,HOU,721573
ATL,HPN,278647
ATL,HSV,483733
ATL,HTS,282
ATL,HVN,44133
ATL,IAD,764546
ATL,IAH,1366718
ATL,ICT,215864
ATL,ILG,3999
ATL,ILM,212853
ATL,IND,947071
ATL,INT,312
ATL,ISP,11567
ATL,JAC,65159
ATL,JAN,504848
ATL,JAX,1460041
ATL,JFK,1045089
ATL,KOA,5
ATL,LAL,3165
ATL,LAS,1698562
ATL,LAX,1932729
ATL,LBB,430
ATL,LEX,430026
ATL,LFT,137604
ATL,LGA,2481357
ATL,LGB,64
ATL,LIT,485769
ATL,LRD,125
ATL,LSE,98
ATL,LUK,84
ATL,LYH,342
ATL,MCI,941310
ATL,MCN,146
ATL,MCO,2903933
ATL,MDT,184102
ATL,MDW,905316
ATL,MEM,927210
ATL,MGM,171323
ATL,MIA,2054611
ATL,MKC,71
ATL,MKE,700510
ATL,MKL,4221
ATL,MLB,279125
ATL,MLI,89110
ATL,MLU,93882
ATL,MOB,236197
ATL,MSN,195739
ATL,MSP,1231795
ATL,MSY,1403295
ATL,MTJ,23798
ATL,MYR,311181
ATL,OAJ,117984
ATL,OAK,45642
ATL,OGG,14864
ATL,OKC,455195
ATL,OMA,432145
ATL,ONT,314216
ATL,ORD,1546864
ATL,ORF,850077
ATL,PBI,1266075
ATL,PDK,1
ATL,PDX,451715
ATL,PHL,1690942
ATL,PHX,1234291
ATL,PIE,257
ATL,PIT,814480
ATL,PNS,765784
ATL,PSM,186
ATL,PSP,39461
ATL,PTK,56
ATL,PVD,287624
ATL,PWM,163974
ATL,RAP,189
ATL,RDU,1403623
ATL,RFD,106
ATL,RIC,992049
ATL,RNO,51053
ATL,ROA,175105
ATL,ROC,274782
ATL,RST,151
ATL,RSW,1000488
ATL,SAN,848086
ATL,SAT,870751
ATL,SAV,824429
ATL,SBA,42535
ATL,SBN,134651
ATL,SDF,736898
ATL,SEA,1175407
ATL,SFO,1047862
ATL,SGF,180612
ATL,SHD,315
ATL,SHV,169455
ATL,SJC,253220
ATL,SJU,708355
ATL,SLC,1044202
ATL,SMF,310342
ATL,SNA,297485
ATL,SPS,166
ATL,SRQ,768469
ATL,STL,923423
ATL,STT,222934
ATL,STX,33061
ATL,SYR,296029
ATL,TLH,355483
ATL,TPA,2125370
ATL,TRI,177278
ATL,TTN,56646
ATL,TUL,280728
ATL,TUS,253962
ATL,TVC,5468
ATL,TWF,169
ATL,TYS,529048
ATL,VLD,90492
ATL,VPS,511699
ATL,XNA,272995
ATS,ORL,9
ATT,AUK,4
ATT,BET,5351
ATT,CYF,6
ATT,KKH,5
ATT,KKI,38
ATT,KLG,3
ATT,KOT,10
ATT,KPN,6
ATT,KSM,5
ATT,KUK,1134
ATT,KWN,3
ATT,KWT,41
ATT,MLL,15
ATT,MOU,12
ATT,NME,3
ATT,NUP,987
ATT,OOK,30
ATT,PKA,35
ATT,PQS,8
ATT,SCM,19
ATT,SXP,2
ATT,TLT,3
ATT,TNK,3
ATT,VAK,1
ATT,WNA,23
ATT,WTL,35
ATT,WWT,18
ATW,AZA,62691
ATW,BNA,34610
ATW,BWI,1419
ATW,CID,68
ATW,CLT,45871
ATW,CVG,47
ATW,DEN,66199
ATW,DFW,27224
ATW,DSM,277
ATW,DTW,102486
ATW,EWR,11839
ATW,FLL,12508
ATW,GJT,141
ATW,GRB,26
ATW,GRI,163
ATW,GRR,73
ATW,IAH,184
ATW,IND,155
ATW,JAX,397
ATW,LAN,66
ATW,LAS,45696
ATW,LAX,235
ATW,MCI,76
ATW,MKE,84
ATW,MSN,42
ATW,MSP,125713
ATW,ORD,272383
ATW,PDX,12879
ATW,PGD,49260
ATW,PIE,50904
ATW,RST,75
ATW,SAV,8147
ATW,SDF,61
ATW,SFB,59409
ATW,SJC,189
ATW,SRQ,18289
ATY,DEN,16723
ATY,ORD,11815
AUG,BOS,10451
AUG,HTO,17
AUG,JFK,16
AUG,NY1,10
AUG,POU,1
AUG,UBF,12
AUK,BET,2005
AUK,EMK,4480
AUK,HPB,47
AUK,KOT,965
AUK,KSM,185
AUK,KUK,1
AUK,KWT,7
AUK,MLL,21
AUK,MOU,235
AUK,NUP,8
AUK,OME,4
AUK,PQS,85
AUK,RSH,27
AUK,SCM,131
AUK,SMK,1
AUK,SXP,1174
AUK,VAK,49
AUK,WNA,2
AUN,BFI,4
AUO,MSL,60
AUO,SUA,7
AUO,SUS,6
AUS,AVL,27126
AUS,BDL,337
AUS,BED,88
AUS,BFI,156
AUS,BFL,116
AUS,BFM,307
AUS,BGR,2
AUS,BHM,421
AUS,BNA,594143
AUS,BOS,350604
AUS,BQK,1
AUS,BRO,26
AUS,BTR,73
AUS,BUF,126
AUS,BUR,101613
AUS,BWI,310534
AUS,BZN,5684
AUS,CAE,192
AUS,CHS,37296
AUS,CKB,313
AUS,CLD,1
AUS,CLE,28978
AUS,CLT,534526
AUS,CMH,88274
AUS,COS,522
AUS,CRP,1217
AUS,CVG,84805
AUS,DAL,472923
AUS,DCA,113101
AUS,DEN,1184247
AUS,DFW,1205577
AUS,DSM,30948
AUS,DTW,291250
AUS,DWH,10
AUS,ECP,28619
AUS,EGE,1144
AUS,ELP,240960
AUS,EUG,5420
AUS,EWR,468731
AUS,FAT,266
AUS,FLL,263465
AUS,FNL,329
AUS,FOE,123
AUS,FSD,12408
AUS,FTW,11
AUS,FXE,7
AUS,GEG,233
AUS,GNV,998
AUS,GPT,2502
AUS,GRK,159
AUS,GRR,29871
AUS,GSO,203
AUS,GSP,1454
AUS,GTR,320
AUS,GUC,69
AUS,HDN,123
AUS,HHR,4
AUS,HNL,76323
AUS,HOU,296422
AUS,HPN,215
AUS,HRL,146903
AUS,HSV,50
AUS,IAD,283189
AUS,IAH,602755
AUS,IFP,1302
AUS,IND,157198
AUS,JAN,70
AUS,JAX,1704
AUS,JFK,650113
AUS,LAS,852184
AUS,LAX,967954
AUS,LBB,68101
AUS,LCH,4
AUS,LEX,1231
AUS,LFT,396
AUS,LGA,833
AUS,LGB,145525
AUS,LIT,128
AUS,LUK,97
AUS,MAF,109970
AUS,MCI,180436
AUS,MCO,702000
AUS,MDT,341
AUS,MDW,344858
AUS,MEM,1314
AUS,MFE,85948
AUS,MGM,386
AUS,MHK,282
AUS,MIA,503879
AUS,MKC,225
AUS,MKE,173
AUS,MLB,163
AUS,MLU,473
AUS,MQY,15
AUS,MSN,283
AUS,MSP,346258
AUS,MSY,327816
AUS,MTJ,633
AUS,OAK,101695
AUS,OKC,76554
AUS,OMA,17820
AUS,ONT,96237
AUS,ORD,732957
AUS,ORF,610
AUS,PBI,640
AUS,PDK,2
AUS,PDX,102081
AUS,PHL,227873
AUS,PHX,801331
AUS,PIB,289
AUS,PIE,108
AUS,PIT,86303
AUS,PNS,2835
AUS,PSM,14
AUS,PSP,6247
AUS,PVU,33541
AUS,PWK,3
AUS,PWM,160
AUS,RDU,224151
AUS,RIC,118
AUS,RNO,12311
AUS,ROC,81
AUS,RSW,3979
AUS,SAA,7
AUS,SAF,1
AUS,SAN,497576
AUS,SAT,7893
AUS,SAV,478
AUS,SBA,71
AUS,SCE,178
AUS,SDF,8350
AUS,SEA,487431
AUS,SFB,13072
AUS,SFO,521144
AUS,SHV,163
AUS,SJC,298337
AUS,SJU,9566
AUS,SLC,379432
AUS,SMF,142471
AUS,SNA,165112
AUS,SPS,282
AUS,SRQ,9577
AUS,STL,222179
AUS,SWO,136
AUS,TCL,161
AUS,TEB,21
AUS,TLH,82
AUS,TN8,41
AUS,TPA,238426
AUS,TUL,79497
AUS,TUS,381
AUS,TYS,27109
AUS,UGN,2
AUS,VNY,47
AUS,VPS,1175
AUS,XNA,1368
AUS,YIP,287
AVL,BHM,64
AVL,BNA,419
AVL,BOS,53139
AVL,BWI,20861
AVL,CHS,65
AVL,CLT,280937
AVL,CMH,41
AVL,COS,139
AVL,DAL,4
AVL,DCA,52075
AVL,DEN,79303
AVL,DFW,97608
AVL,DSM,130
AVL,ECP,66
AVL,EWR,95054
AVL,EYW,22005
AVL,FLL,189529
AVL,FYV,60
AVL,GGG,66
AVL,GNV,2
AVL,GPT,618
AVL,GSO,141
AVL,GSP,653
AVL,HOU,18848
AVL,HPN,1
AVL,HSV,102
AVL,IAD,79
AVL,IFP,324
AVL,IND,35
AVL,JFK,139
AVL,LAS,30713
AVL,LAW,70
AVL,LEX,40
AVL,LGA,98623
AVL,MCO,22708
AVL,MDW,19522
AVL,MIA,15618
AVL,MSO,290
AVL,MSP,71593
AVL,MSY,65
AVL,OKC,143
AVL,ORD,133715
AVL,PAH,28
AVL,PBI,38826
AVL,PGD,65237
AVL,PHL,40089
AVL,PHX,29518
AVL,PIE,133270
AVL,PIT,160
AVL,PNE,14
AVL,RDU,128
AVL,RIC,70
AVL,SAV,177
AVL,SFB,134674
AVL,SRQ,30652
AVL,TEB,1
AVL,TRI,17
AVL,TTN,44
AVL,TUL,140
AVL,TYS,599
AVL,USA,162
AVL,VNY,8
AVL,VPS,2801
AVP,BTV,15
AVP,BUF,47
AVP,CLE,44
AVP,CLT,216900
AVP,CMH,53
AVP,CVG,48
AVP,DAY,44
AVP,DCA,71
AVP,EWR,25440
AVP,FWA,41
AVP,GRR,91
AVP,HGR,6
AVP,HPN,181
AVP,IAD,30325
AVP,ITH,42
AVP,JAX,11
AVP,JFK,90
AVP,LAS,82
AVP,LAX,135
AVP,LEB,14
AVP,MCO,37194
AVP,MKE,214
AVP,MSN,22
AVP,MYR,6239
AVP,ORD,112489
AVP,PHL,147
AVP,PIT,288
AVP,PVU,184
AVP,PWM,67
AVP,RDU,67
AVP,ROC,64
AVP,RSW,4046
AVP,SBN,76
AVP,SBY,22
AVP,SCE,136
AVP,SNA,90
AVP,STL,73
AVP,TPA,4264
AVP,VNY,4
AVW,HHR,1
AVW,NUQ,14
AVW,VNY,4
AYS,TVI,2
AZ3,BFI,10
AZ3,HHR,17
AZ3,SJU,5
AZ3,SLC,7
AZ8,DVT,6
AZA,BCT,7
AZA,BFI,888
AZA,BFL,87
AZA,BIL,62886
AZA,BIS,77675
AZA,BLI,39272
AZA,BNA,16
AZA,BOI,32699
AZA,BZN,38576
AZA,CID,65694
AZA,CSG,1676
AZA,CVG,25772
AZA,DAL,251
AZA,DEN,1888
AZA,DSM,58646
AZA,ELP,7421
AZA,EUG,36843
AZA,FAR,104484
AZA,FCA,21728
AZA,FNT,34506
AZA,FSD,100328
AZA,FTW,37
AZA,FWA,21023
AZA,GEG,32278
AZA,GFK,18289
AZA,GGG,37
AZA,GRI,35214
AZA,GRR,64397
AZA,GTF,21156
AZA,HNL,436
AZA,HOU,14265
AZA,HRL,372
AZA,IAH,3736
AZA,ICT,34849
AZA,IDA,67925
AZA,IFP,875
AZA,ITO,335
AZA,JAX,6070
AZA,LAS,1436
AZA,LAX,174
AZA,LRD,91
AZA,MDW,138
AZA,MFR,1467
AZA,MIA,16
AZA,MLI,29100
AZA,MOT,44433
AZA,MSO,43983
AZA,MSP,58759
AZA,OMA,35845
AZA,ONT,101
AZA,PDX,20800
AZA,PHX,469
AZA,PIA,58881
AZA,PSC,50478
AZA,PVU,213276
AZA,RAP,59692
AZA,RFD,50412
AZA,RNO,984
AZA,SAN,4934
AZA,SAT,725
AZA,SBN,36059
AZA,SCE,28
AZA,SGF,52340
AZA,STC,32110
AZA,TOL,6450
AZA,TUS,1244
AZA,TVC,4116
AZA,VCV,1291
AZA,XNA,15477
AZA,YUM,866
AZO,BUF,292
AZO,CRW,145
AZO,DCA,756
AZO,DTW,105092
AZO,GRR,47
AZO,HTS,145
AZO,LAN,24
AZO,MCO,8137
AZO,MKE,43
AZO,ORD,67068
AZO,SFB,269
AZO,SJC,1
AZO,STL,89
B19,CT1,1
B19,HPN,6
B21,BOS,3
B21,PVD,3
B21,TEB,3
BAF,BUF,286
BAF,CHO,33
BAF,CVG,144
BAF,DTW,158
BAF,FOK,7
BAF,GTR,293
BAF,MVY,1
BAF,ORD,142
BAF,PHL,232
BAF,RFD,300
BAF,TOL,160
BAF,YIP,281
BAM,BFI,56
BAM,TUS,56
BBX,BED,5
BBX,BOS,4
BBX,BUF,1
BBX,CDW,3
BBX,FL4,5
BBX,FOK,4
BBX,GON,4
BBX,HFD,8
BBX,HTO,8
BBX,HVN,13
BBX,INT,12
BBX,ITH,4
BBX,LCI,1
BBX,LNS,3
BBX,MTP,10
BBX,MVY,8
BBX,NJ4,6
BBX,NPT,7
BBX,NY7,4
BBX,OWD,12
BBX,PSF,4
BBX,PVD,16
BBX,PYM,8
BBX,RIC,2
BBX,ROC,18
BBX,SCE,34
BBX,TEB,3
BBX,WWD,1
BCE,BLD,49
BCE,PGA,3
BCT,BHM,60
BCT,CLE,14
BCT,COS,6
BCT,DAL,3
BCT,EYW,27
BCT,FLL,2
BCT,FRG,46
BCT,HPN,5373
BCT,IAD,5
BCT,LAS,8
BCT,LCI,2
BCT,LGA,6
BCT,MCO,4
BCT,MMU,3102
BCT,MSY,1
BCT,MTH,7
BCT,PWK,8
BCT,RIL,5
BCT,RNO,2
BCT,SAV,3
BCT,SSI,6
BCT,STL,10
BCT,STS,4
BCT,STT,2
BCT,TEB,6
BCT,TPA,27
BCT,TYS,3
BCT,VNC,4
BCT,VRB,3
BCT,YNG,14
BDL,BHM,281
BDL,BLM,1
BDL,BNA,102349
BDL,BOS,5901
BDL,BTV,145
BDL,BUF,333
BDL,BWI,439289
BDL,BZN,135
BDL,CAE,184
BDL,CHS,67444
BDL,CLE,253
BDL,CLT,559443
BDL,CMH,22023
BDL,CMI,3
BDL,COS,148
BDL,CSG,284
BDL,CVG,8869
BDL,DAB,4831
BDL,DCA,260795
BDL,DEN,232534
BDL,DFW,180003
BDL,DSM,33
BDL,DTW,256572
BDL,EWN,12194
BDL,EWR,2965
BDL,FAR,94
BDL,FLL,226309
BDL,FRG,3
BDL,FSD,148
BDL,GEG,108
BDL,GJT,166
BDL,GPT,533
BDL,GRR,383
BDL,GSO,394
BDL,GSP,5077
BDL,HDN,135
BDL,HOU,3629
BDL,HPN,1011
BDL,HTO,3
BDL,IAD,247191
BDL,IAH,184
BDL,ICT,231
BDL,ILM,3991
BDL,IND,618
BDL,ISM,3
BDL,ISP,287
BDL,JAN,152
BDL,JAX,39967
BDL,JFK,3399
BDL,LAL,3918
BDL,LAN,181
BDL,LAS,34795
BDL,LAX,31594
BDL,LEB,11
BDL,LGA,23424
BDL,MCI,182
BDL,MCO,590671
BDL,MDW,207330
BDL,MEM,70
BDL,MIA,140453
BDL,MKE,470
BDL,MMU,2
BDL,MSP,242560
BDL,MSY,24
BDL,MVY,1
BDL,MYR,95829
BDL,OAK,54
BDL,OKC,43
BDL,OMA,120
BDL,ONT,134
BDL,ORD,445389
BDL,ORF,56517
BDL,ORH,84
BDL,PBI,135534
BDL,PDX,236
BDL,PHL,149735
BDL,PHX,22343
BDL,PIT,20546
BDL,PVD,554
BDL,PWM,590
BDL,RAP,130
BDL,RDU,72262
BDL,RIC,37459
BDL,RKD,2
BDL,RSW,112039
BDL,SAN,306
BDL,SAT,143
BDL,SAV,18774
BDL,SBN,60
BDL,SBP,1
BDL,SDF,337
BDL,SEA,160
BDL,SFO,1250
BDL,SJC,149
BDL,SJU,310216
BDL,SLC,128
BDL,SNA,180
BDL,SOP,4
BDL,SRQ,26895
BDL,STL,279
BDL,SWF,172
BDL,SYR,548
BDL,TEB,5
BDL,TLH,89
BDL,TPA,289046
BDL,TUL,98
BDL,TUS,183
BDL,TVC,159
BDL,TYS,159
BDL,USA,3594
BDL,VRB,45641
BDL,XNA,555
BDR,BGR,1
BDR,BHB,1
BDR,BID,6
BDR,BTV,6
BDR,CON,2
BDR,ESN,6
BDR,FOK,5
BDR,FXE,8
BDR,GTY,4
BDR,HPN,1
BDR,HTO,4
BDR,IAD,3
BDR,ILG,4
BDR,MCO,1
BDR,MVY,14
BDR,NJ1,2
BDR,RDU,2
BDR,SCE,8
BDR,SLK,8
BDR,TEB,3
BDY,BFI,65
BED,BFI,54
BED,BGR,6
BED,BHB,32
BED,BIF,57
BED,BLI,12
BED,BLM,17
BED,BNA,426
BED,BTV,9
BED,BUF,3415
BED,BWG,346
BED,BWI,11
BED,BZN,52
BED,CAE,134
BED,CDW,3
BED,CHO,511
BED,CID,67
BED,CLE,247
BED,CLT,224
BED,CMH,326
BED,CMI,304
BED,COU,388
BED,CPR,410
BED,CPS,110
BED,CTH,5
BED,CVG,349
BED,DAL,1561
BED,DEN,167
BED,DOV,16
BED,DSM,260
BED,DTW,282
BED,DXR,3
BED,EWR,2953
BED,FID,6
BED,FLL,749
BED,FOK,53
BED,FRG,117
BED,FSD,126
BED,GAI,8
BED,GED,21
BED,GFK,108
BED,GFL,3
BED,GNV,97
BED,GPZ,3
BED,GSO,130
BED,GSP,86
BED,GYY,90
BED,HDN,8
BED,HOU,140
BED,HPN,192
BED,HTO,75
BED,IAD,1015
BED,ILG,30
BED,ILM,4
BED,IND,315
BED,INT,200
BED,ISP,7
BED,JAC,34
BED,JFK,61
BED,LAN,510
BED,LAS,54
BED,LBE,28
BED,LGA,50
BED,LZU,10
BED,MCO,4070
BED,MDW,250
BED,ME1,5
BED,ME3,3
BED,MIA,550
BED,MKE,348
BED,MMU,7
BED,MPV,12
BED,MRK,10
BED,MSP,434
BED,MTP,5
BED,MVL,26
BED,MVY,115
BED,NH4,1
BED,NJ1,3
BED,OKC,111
BED,OPF,15
BED,ORD,128
BED,PA5,2
BED,PAH,130
BED,PBI,6
BED,PCT,17
BED,PHL,453
BED,PIE,64
BED,PIT,1011
BED,PNE,12
BED,POU,13
BED,PSF,2
BED,RDU,1372
BED,RIC,194
BED,RKD,12
BED,ROA,488
BED,SAN,121
BED,SBN,321
BED,SCE,16
BED,SDF,516
BED,SEA,102
BED,SFO,3
BED,SHD,3
BED,SJU,6
BED,SLC,214
BED,SLK,43
BED,SLN,1
BED,SNA,2
BED,SRQ,53
BED,STC,194
BED,STL,127
BED,SWF,4
BED,SYR,495
BED,TEB,202
BED,TLH,533
BED,TTN,20
BED,TYS,102
BED,USA,10
BED,VGC,11
BED,VNY,6
BED,YIP,253
BET,CHU,186
BET,CKD,129
BET,CYF,5921
BET,CZF,113
BET,DLG,344
BET,EEK,5456
BET,EHM,141
BET,EMK,10396
BET,GAL,196
BET,GNU,1273
BET,HCR,226
BET,HPB,7782
BET,KGX,150
BET,KKA,4
BET,KKH,5109
BET,KKI,5053
BET,KLG,3182
BET,KMO,18
BET,KNW,18
BET,KOT,3272
BET,KPN,8054
BET,KSM,4279
BET,KUK,6164
BET,KWK,3910
BET,KWN,9048
BET,KWT,5256
BET,LVD,8
BET,MCG,2
BET,MLL,4416
BET,MOU,5026
BET,MRI,12
BET,MYU,2327
BET,NME,2632
BET,NUP,5170
BET,OME,116
BET,OOK,5401
BET,PKA,2264
BET,PQS,5024
BET,PTU,556
BET,RDV,1
BET,RSH,3728
BET,SCM,5786
BET,SHX,38
BET,SLQ,82
BET,SMK,4
BET,SNP,2695
BET,SRV,73
BET,SXP,960
BET,TLT,3484
BET,TNK,2870
BET,TOG,27
BET,TWA,11
BET,UNK,112
BET,VAK,9234
BET,WBB,2
BET,WNA,2851
BET,WTL,5875
BET,WWT,2969
BFB,KPR,1
BFD,CPS,28
BFD,DUJ,12
BFD,IAD,3769
BFD,PHL,6
BFD,PIT,3073
BFF,BOS,165
BFF,BWI,163
BFF,BZN,570
BFF,CHS,146
BFF,DEN,27990
BFF,DSM,120
BFF,EUG,145
BFF,FCA,160
BFF,GRR,161
BFF,IAD,217
BFF,ICT,95
BFF,LGA,149
BFF,ORD,125
BFF,ORF,139
BFF,PIT,165
BFF,SLC,145
BFI,BFL,131
BFI,BIF,90
BFI,BIL,11
BFI,BJC,29
BFI,BKL,61
BFI,BMG,130
BFI,BNA,111
BFI,BOI,21
BFI,BOS,66
BFI,BUR,68
BFI,BWI,130
BFI,BZN,3
BFI,CGF,1
BFI,CID,257
BFI,CLM,6
BFI,CMH,97
BFI,COE,22
BFI,CPS,294
BFI,CTH,2
BFI,CVG,60
BFI,DAL,354
BFI,DEN,127
BFI,DFW,213
BFI,DTW,439
BFI,DVT,5
BFI,EAT,2
BFI,EDF,90
BFI,ELP,3572
BFI,ESD,12984
BFI,EUG,354
BFI,EWR,435
BFI,FCA,39
BFI,FLL,53
BFI,FRD,15278
BFI,GEG,41
BFI,GTR,37
BFI,HHR,3
BFI,HNL,6
BFI,HOU,743
BFI,HPN,51
BFI,IAD,115
BFI,IAH,1326
BFI,IND,129
BFI,INT,27
BFI,JAC,8
BFI,JFK,60
BFI,JNU,1
BFI,KOA,5
BFI,LAS,608
BFI,LAX,1000
BFI,LEX,127
BFI,LGB,319
BFI,LMT,25
BFI,LNK,35
BFI,LPS,27
BFI,LWS,1
BFI,MCI,75
BFI,MDT,127
BFI,MDW,197
BFI,MKC,223
BFI,MKE,126
BFI,MSO,11
BFI,MSP,397
BFI,MSY,687
BFI,MYL,8
BFI,OAK,305
BFI,OGG,1676
BFI,ONT,45
BFI,OR1,4
BFI,OR4,18
BFI,ORD,52
BFI,OTH,66
BFI,PAE,21
BFI,PDX,181
BFI,PHL,236
BFI,PHX,242
BFI,PIE,133
BFI,PSC,12
BFI,PSP,11
BFI,PUW,398
BFI,RCE,51
BFI,RDM,30
BFI,SAN,267
BFI,SAT,16
BFI,SBA,4
BFI,SCE,128
BFI,SCF,9
BFI,SCK,8
BFI,SEA,215
BFI,SFF,18
BFI,SFO,281
BFI,SIG,1
BFI,SJC,353
BFI,SLC,275
BFI,SMF,132
BFI,SNA,167
BFI,SQL,6
BFI,STL,124
BFI,SUN,27
BFI,SUO,18
BFI,TEB,5
BFI,TIW,4
BFI,TIX,4
BFI,TN8,1
BFI,TPA,49
BFI,TTD,10
BFI,TWF,2
BFI,VCV,1818
BFI,VNY,47
BFI,VWE,15
BFI,WA5,6
BFI,WQC,1
BFI,WVI,4
BFI,XNA,98
BFI,XXS,4
BFI,YIP,360
BFI,YKM,3
BFL,BUR,126
BFL,BWI,709
BFL,BZN,7
BFL,DEN,68614
BFL,DFW,103209
BFL,ELP,233
BFL,GSP,7
BFL,IFP,323
BFL,KOA,8
BFL,MOD,9
BFL,MRY,57
BFL,NUQ,1
BFL,OKC,119
BFL,PHX,169393
BFL,RNO,4
BFL,SBP,127
BFL,SFO,47626
BFL,SNA,1
BFL,VNY,5
BFM,CMH,307
BFM,HKY,274
BFM,IFP,1150
BFM,MCO,10804
BFM,MEM,300
BFM,RNO,607
BFM,SAT,221
BFM,SAV,335
BFM,TOL,350
BFT,MVY,3
BFT,PBI,8
BFT,SAV,2
BFT,SFB,10
BFT,SRQ,2
BFT,TEB,6
BGD,IAH,7
